OIS_DATE,OIS_YEAR,SP_WEAPON,SP_INJURY_LEVEL,FATALITY_FLG,SP_GENDER,SIMPLE_SUBJ_RE_GRP,SP_AGE_GROUP,SUBJECT_COUNT
05/07/2021,2021,Firearm,Injured,Non-fatal,Male,White,30s,1
10/25/2020,2020,Simulated Firearm,Fatal,Fatal,Male,White,50s,1
08/28/2022,2022,Firearm,Self-Inflicted Fatal,Non-fatal,Male,Black or African American,Not Available,1
08/26/2018,2018,Firearm,Fatal,Fatal,Male,Hispanic,20s,1
06/23/2017,2017,Vehicle,Fatal,Fatal,Male,Hispanic,30s,1
04/01/2018,2018,Firearm,Fatal,Fatal,Male,Other,50s,1
05/01/2018,2018,Firearm,Injured,Non-fatal,Male,Hispanic,40s,1
03/23/2018,2018,Bladed Object,Fatal,Fatal,Male,Hispanic,20s,1
03/12/2022,2022,Vehicle,Fatal,Fatal,Male,White,30s,1
11/13/2018,2018,Firearm,Fatal,Fatal,Male,Black or African American,20s,1
12/28/2020,2020,Simulated Firearm,Fatal,Fatal,Male,White,30s,1
06/29/2018,2018,Firearm,Fatal,Fatal,Male,Black or African American,<20,1
10/20/2020,2020,Firearm,Fatal,Fatal,Male,Hispanic,40s,1
11/02/2022,2022,Firearm,Fatal,Fatal,Male,Black or African American,20s,1
01/12/2021,2021,Firearm,Fatal,Fatal,Male,Hispanic,20s,1
05/29/2020,2020,Firearm,Injured,Non-fatal,Male,Hispanic,20s,1
10/08/2018,2018,Vehicle,No Injury,Non-fatal,Male,Hispanic,30s,1
09/20/2017,2017,Firearm,No Injury,Non-fatal,Male,White,30s,1
03/08/2023,2023,None,Injured,Non-fatal,Male,White,20s,1
06/16/2018,2018,Firearm,Fatal,Fatal,Male,White,40s,1
01/10/2018,2018,Firearm,Injured,Non-fatal,Male,Black or African American,30s,1
05/29/2018,2018,Firearm,Fatal,Fatal,Male,Other,30s,1
12/19/2018,2018,Blunt Object,Fatal,Fatal,Male,Hispanic,50s,1
03/29/2020,2020,Firearm,Fatal,Fatal,Male,White,20s,1
05/09/2019,2019,Firearm,Fatal,Fatal,Male,Hispanic,20s,1
04/24/2023,2023,Bladed Object,Injured,Non-fatal,Male,White,20s,1
12/03/2020,2020,Firearm,Fatal,Fatal,Male,Black or African American,40s,1
03/04/2023,2023,Firearm,No injury,Non-fatal,Male,Hispanic,30s,1
05/01/2022,2022,Bladed Object,Injured,Non-fatal,Male,Hispanic,20s,1
02/11/2022,2022,Firearm,Self-Inflicted Fatal,Non-fatal,Male,Black or African American,30s,1
10/15/2020,2020,Firearm,No Injury,Non-fatal,Male,Hispanic,20s,1
09/21/2020,2020,Vehicle,No Injury,Non-fatal,Male,Black or African American,Not Available,1
07/04/2020,2020,Firearm,Fatal,Fatal,Male,Hispanic,20s,1
02/22/2018,2018,Firearm,Fatal,Fatal,Male,White,20s,1
12/21/2022,2022,Firearm,No Injury,Non-fatal,Male,Hispanic,40s,1
07/15/2018,2018,Firearm,No Injury,Non-fatal,Male,White,20s,1
03/02/2017,2017,Firearm,Fatal,Fatal,Male,Hispanic,20s,1
03/08/2021,2021,Firearm,No Injury,Non-fatal,Female,White,50s,1
05/22/2023,2023,Firearm,Injured,Non-fatal,Female,White,40s,1
03/14/2023,2023,Firearm,No injury,Non-fatal,Male,Hispanic,30s,1
07/20/2017,2017,Vehicle,No Injury,Non-fatal,Male,Hispanic,20s,1
11/29/2018,2018,Firearm,Fatal,Fatal,Male,Hispanic,40s,1
